DT,outcome_rv,outcome_rv_log,lag_rv_day,lag_rv_day_2,lag_rv_day_3,lag_rv_day_4,lag_rv_day_5,lag_rv_day_6,lag_rv_day_7,lag_rv_day_8,lag_rv_day_9,lag_rv_day_10,lag_rv_day_11,lag_rv_day_12,lag_rv_day_13,lag_rv_day_14,lag_rv_day_15,lag_rv_day_16,lag_rv_day_17,lag_rv_day_18,lag_rv_day_19,lag_rv_day_20,lag_rv_day_21,lag_rv_day_log,lag_rv_day_log_2,lag_rv_day_log_3,lag_rv_day_log_4,lag_rv_day_log_5,lag_rv_day_log_6,lag_rv_day_log_7,lag_rv_day_log_8,lag_rv_day_log_9,lag_rv_day_log_10,lag_rv_day_log_11,lag_rv_day_log_12,lag_rv_day_log_13,lag_rv_day_log_14,lag_rv_day_log_15,lag_rv_day_log_16,lag_rv_day_log_17,lag_rv_day_log_18,lag_rv_day_log_19,lag_rv_day_log_20,lag_rv_day_log_21,lag_rv_week,lag_rv_week_log,lag_rv_month,lag_rv_month_log,lag_rv_3month,lag_rv_3month_log,vix,return_sign_day,return_sign_week,return_sign_month,liquidity_day,liquidity_week,liquidity_month,liquidity_day_log,liquidity_week_log,liquidity_month_log,vix_log,mktMinusRiskfree,smb,hml,rf
20150623,6.489339019376343e-5,-9.642764785453778,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,1.0700944702041833e-4,6.882199664558392e-5,9.152548484034086e-5,1.0494611147243409e-4,1.8986789200185154e-4,1.081114252805889e-4,5.987117490919051e-5,5.236721248484091e-5,9.653172810410042e-5,6.0387675022023266e-5,5.6098795290712745e-5,5.538783214908897e-5,9.408867326782242e-5,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,-9.142593437489241,-9.583987145438291,-9.29889310161783,-9.16206356362336,-8.569182032894005,-9.132348147131763,-9.723315388880325,-9.857229878417344,-9.245638815014948,-9.714725529772515,-9.788396219985046,-9.801150624632653,-9.271272887716474,8.615824125314619e-5,-9.476007214212597,8.43600051707834e-5,-9.458587192391704,9.10121076847972e-5,-9.384479594436394,12.11,1,0,1,25715.000000000004,25354.33213377766,24015.191015221775,10.154829758209017,10.14070488727,10.086441868063618,2.494031557565001,0.63,0,-0.17,0
20150624,1.001435811319093e-4,-9.2089055904485555,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,1.0700944702041833e-4,6.882199664558392e-5,9.152548484034086e-5,1.0494611147243409e-4,1.8986789200185154e-4,1.081114252805889e-4,5.987117490919051e-5,5.236721248484091e-5,9.653172810410042e-5,6.0387675022023266e-5,5.6098795290712745e-5,5.538783214908897e-5,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,-9.142593437489241,-9.583987145438291,-9.29889310161783,-9.16206356362336,-8.569182032894005,-9.132348147131763,-9.723315388880325,-9.857229878417344,-9.245638815014948,-9.714725529772515,-9.788396219985046,-9.801150624632653,7.339602138561954e-5,-9.612961859247996,8.535130997924e-5,-9.439970001995269,9.056079614115028e-5,-9.390203177859892,13.26,0,1,1,20207.99999999999,24927.358166236972,23997.568618135683,9.913833844590272,10.123721200835671,10.085707796620444,2.5847519847577165,0.16,0.18,0.32,0
20150625,6.440959423260712e-5,-9.650247957183009,1.001435811319093e-4,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,1.0700944702041833e-4,6.882199664558392e-5,9.152548484034086e-5,1.0494611147243409e-4,1.8986789200185154e-4,1.081114252805889e-4,5.987117490919051e-5,5.236721248484091e-5,9.653172810410042e-5,6.0387675022023266e-5,5.6098795290712745e-5,-9.2089055904485555,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,-9.142593437489241,-9.583987145438291,-9.29889310161783,-9.16206356362336,-8.569182032894005,-9.132348147131763,-9.723315388880325,-9.857229878417344,-9.245638815014948,-9.714725529772515,-9.788396219985046,6.641419972261153e-5,-9.672773864643625,8.562653306397123e-5,-9.437135124846728,9.109389110671709e-5,-9.383644937841252,14.01,0,0,1,18676.999999999993,22565.79341456324,23708.037762121858,9.835048099313607,10.024190472935368,10.073569415707281,2.6397713603489157,-0.75,-0.12,0.31,0
20150626,1.4856644321878097e-4,-8.814478270705365,6.440959423260717e-5,1.001435811319093e-4,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,1.0700944702041833e-4,6.882199664558392e-5,9.152548484034086e-5,1.0494611147243409e-4,1.8986789200185154e-4,1.081114252805889e-4,5.987117490919051e-5,5.236721248484091e-5,9.653172810410042e-5,6.0387675022023266e-5,-9.650247957183009,-9.2089055904485555,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,-9.142593437489241,-9.583987145438291,-9.29889310161783,-9.16206356362336,-8.569182032894005,-9.132348147131763,-9.723315388880325,-9.857229878417344,-9.245638815014948,-9.714725529772515,6.389234815142473e-5,-9.708531389328543,8.60366131586766e-5,-9.430275912689925,9.069540030668153e-5,-9.388832890279389,14.02,0,0,1,19293.000000000007,21647.735260438825,23481.57121499364,9.867497614802973,9.982656121050814,10.063971188866452,2.640484881606444,-0.21,0.34,-0.21,0
20150629,1.419006347205268e-4,-8.860383500795407,1.4856644321878086e-4,6.440959423260717e-5,1.001435811319093e-4,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,1.0700944702041833e-4,6.882199664558392e-5,9.152548484034086e-5,1.0494611147243409e-4,1.8986789200185154e-4,1.081114252805889e-4,5.987117490919051e-5,5.236721248484091e-5,9.653172810410042e-5,-8.814478270705365,-9.650247957183009,-9.2089055904485555,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,-9.142593437489241,-9.583987145438291,-9.29889310161783,-9.16206356362336,-8.569182032894005,-9.132348147131763,-9.723315388880325,-9.857229878417344,-9.245638815014948,8.597248283174392e-5,-9.436712739038843,9.023968806449788e-5,-9.386006914995395,9.17989068722572e-5,-9.378623924344804,18.85,0,0,0,34632.99999999999,23034.636942695844,24155.370712848162,10.452562263733816,10.044754316129936,10.09226202412175,2.93651291389402,-0.08,-0.18,0.25,0
20150630,7.944066976791508e-5,-9.440500107146143,1.4190063472052674e-4,1.4856644321878086e-4,6.440959423260717e-5,1.001435811319093e-4,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,1.0700944702041833e-4,6.882199664558392e-5,9.152548484034086e-5,1.0494611147243409e-4,1.8986789200185154e-4,1.081114252805889e-4,5.987117490919051e-5,5.236721248484091e-5,-8.860383500795407,-8.814478270705365,-9.650247957183009,-9.2089055904485555,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,-9.142593437489241,-9.583987145438291,-9.29889310161783,-9.16206356362336,-8.569182032894005,-9.132348147131763,-9.723315388880325,-9.857229878417344,1.0398272869951748e-4,-9.235356020917223,9.394482259624804e-5,-9.347173186405525,9.20071072823355e-5,-9.37708070925731,18.23,0,0,1,31419.999999999985,23976.47323944719,24624.718117062912,10.355199911809612,10.084828346850054,10.111506018951946,2.9030685886905716,-2.18,-0.34,0.22,0
20150701,8.151096144067047e-5,-9.414773050556715,7.944066976791509e-5,1.4190063472052674e-4,1.4856644321878086e-4,6.440959423260717e-5,1.001435811319093e-4,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,1.0700944702041833e-4,6.882199664558392e-5,9.152548484034086e-5,1.0494611147243409e-4,1.8986789200185154e-4,1.081114252805889e-4,5.987117490919051e-5,-9.440500107146143,-8.860383500795407,-8.814478270705365,-9.650247957183009,-9.2089055904485555,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,-9.142593437489241,-9.583987145438291,-9.29889310161783,-9.16206356362336,-8.569182032894005,-9.132348147131763,-9.723315388880325,1.0689218461434784e-4,-9.194903085255696,9.316795630823961e-5,-9.356030517866035,9.138809295013095e-5,-9.383367705116736,16.09,0,0,1,22184.999999999993,24428.2593376129,24589.678104407823,10.00717166381301,10.103495910694601,10.110082044616538,2.7781979610042917,0.29,0.34,-0.74,0
20150702,9.953551544706243e-5,-9.2149960383209,8.151096144067051e-5,7.944066976791509e-5,1.4190063472052674e-4,1.4856644321878086e-4,6.440959423260717e-5,1.001435811319093e-4,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,1.0700944702041833e-4,6.882199664558392e-5,9.152548484034086e-5,1.0494611147243409e-4,1.8986789200185154e-4,1.081114252805889e-4,-9.414773050556715,-9.440500107146143,-8.860383500795407,-8.814478270705365,-9.650247957183009,-9.2089055904485555,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,-9.142593437489241,-9.583987145438291,-9.29889310161783,-9.16206356362336,-8.569182032894005,-9.132348147131763,1.0316566067610007e-4,-9.236076577277327,9.449267216986823e-5,-9.33591884387237,9.134569596988573e-5,-9.383879114762069,16.79,0,0,0,20414.000000000015,24866.617855955108,24563.18070761794,9.923976218963444,10.121281534624568,10.109003881514855,2.8207834710894493,0.49,-0.72,-0.15,0
20150706,2.73471535247797e-4,-8.204313017394936,9.953551544706249e-5,8.151096144067051e-5,7.944066976791509e-5,1.4190063472052674e-4,1.4856644321878086e-4,6.440959423260717e-5,1.001435811319093e-4,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,1.0700944702041833e-4,6.882199664558392e-5,9.152548484034086e-5,1.0494611147243409e-4,1.8986789200185154e-4,-9.2149960383209,-9.414773050556715,-9.440500107146143,-8.860383500795407,-8.814478270705365,-9.650247957183009,-9.2089055904485555,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,-9.142593437489241,-9.583987145438291,-9.29889310161783,-9.16206356362336,-8.569182032894005,1.1019084491899114e-4,-9.149026193504906,9.62955967397715e-5,-9.312813418846941,9.178465442812553e-5,-9.378667133318858,17.01,1,0,0,20543.00000000002,25180.800986629452,24275.874966487354,9.930275529292512,10.133837117522479,10.097238336443526,2.8338014064077703,0,-0.04,-0.01,0
20150707,1.365083985206027e-4,-8.899124417608544,2.7347153524779694e-4,9.953551544706249e-5,8.151096144067051e-5,7.944066976791509e-5,1.4190063472052674e-4,1.4856644321878086e-4,6.440959423260717e-5,1.001435811319093e-4,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,1.0700944702041833e-4,6.882199664558392e-5,9.152548484034086e-5,1.0494611147243409e-4,-8.204313017394936,-9.2149960383209,-9.414773050556715,-9.440500107146143,-8.860383500795407,-8.814478270705365,-9.650247957183009,-9.2089055904485555,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,-9.142593437489241,-9.583987145438291,-9.29889310161783,-9.16206356362336,1.3517186332479437e-4,-9.02699314284282,1.038119653746446e-4,-9.270630003858903,9.423894737964656e-5,-9.365072000275632,16.09,0,0,0,37392.00000000002,25569.795641444234,24838.325377112633,10.52921205677864,10.149167076131443,10.1201431173945,2.7781979610042917,-0.44,0.05,-0.69,0
20150708,1.460217977119588e-4,-8.831754648003006,1.3650839852060264e-4,2.7347153524779694e-4,9.953551544706249e-5,8.151096144067051e-5,7.944066976791509e-5,1.4190063472052674e-4,1.4856644321878086e-4,6.440959423260717e-5,1.001435811319093e-4,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,1.0700944702041833e-4,6.882199664558392e-5,9.152548484034086e-5,-8.899124417608544,-8.204313017394936,-9.2149960383209,-9.414773050556715,-9.440500107146143,-8.860383500795407,-8.814478270705365,-9.650247957183009,-9.2089055904485555,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,-9.142593437489241,-9.583987145438291,-9.29889310161783,1.3409341608480954e-4,-9.034741326205447,1.0138653385276964e-4,-9.285627384982291,9.513810056000058e-5,-9.356428827957032,19.66,0,0,0,35868.99999999999,26256.079261133807,24766.782053030125,10.487628691687759,10.175652832107072,10.117258600964847,2.9785861147190205,0.46,-0.56,-0.25,0
20150709,8.005629688328222e-5,-9.432780459737879,1.460217977119587e-4,1.3650839852060264e-4,2.7347153524779694e-4,9.953551544706249e-5,8.151096144067051e-5,7.944066976791509e-5,1.4190063472052674e-4,1.4856644321878086e-4,6.440959423260717e-5,1.001435811319093e-4,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,1.0700944702041833e-4,6.882199664558392e-5,-8.831754648003006,-8.899124417608544,-8.204313017394936,-9.2149960383209,-9.414773050556715,-9.440500107146143,-8.860383500795407,-8.814478270705365,-9.650247957183009,-9.2089055904485555,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,-9.142593437489241,-9.583987145438291,1.4740964167361825e-4,-8.91299223437682,1.0325361050002077e-4,-9.270613343363184,9.631604670711602e-5,-9.344910982589747,19.97,0,0,0,29956.999999999993,27881.59741060039,25166.789619172203,10.307518299106112,10.235722159165693,10.133280532087094,2.994231147427724,-1.69,-0.08,0.18,0
20150710,4.119176669350938e-5,-10.097272159115155,8.005629688328223e-5,1.460217977119587e-4,1.3650839852060264e-4,2.7347153524779694e-4,9.953551544706249e-5,8.151096144067051e-5,7.944066976791509e-5,1.4190063472052674e-4,1.4856644321878086e-4,6.440959423260717e-5,1.001435811319093e-4,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,1.0700944702041833e-4,-9.432780459737879,-8.831754648003006,-8.899124417608544,-8.204313017394936,-9.2149960383209,-9.414773050556715,-9.440500107146143,-8.860383500795407,-8.814478270705365,-9.650247957183009,-9.2089055904485555,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,-9.142593437489241,1.471187087621406e-4,-8.916593716213052,1.0273228377469992e-4,-9.276699132368641,9.633105172754814e-5,-9.344722382780438,16.83,0,0,0,20534.000000000015,27914.29998991413,24843.91614133727,9.92983732785891,10.236894380944786,10.120368178264435,2.8231630082027146,0.25,0.27,-0.35,0
20150713,1.0143961063948329e-4,-9.196046905615894,4.119176669350936e-5,8.005629688328223e-5,1.460217977119587e-4,1.3650839852060264e-4,2.7347153524779694e-4,9.953551544706249e-5,8.151096144067051e-5,7.944066976791509e-5,1.4190063472052674e-4,1.4856644321878086e-4,6.440959423260717e-5,1.001435811319093e-4,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,7.307798110545991e-5,-10.097272159115155,-9.432780459737879,-8.831754648003006,-8.899124417608544,-8.204313017394936,-9.2149960383209,-9.414773050556715,-9.440500107146143,-8.860383500795407,-8.814478270705365,-9.650247957183009,-9.2089055904485555,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,-9.523983452650793,1.3544995901142997e-4,-9.093048940371904,1.014763642314238e-4,-9.300030269353954,9.495042036641982e-5,-9.362403219570934,13.9,1,0,0,28246.000000000015,29749.88965264437,24820.699391498423,10.24870713362901,10.300580701812086,10.119433236907055,2.631888840136646,1.23,0.11,-0.57,0
20150714,1.5047194331067976e-4,-8.801733914339158,1.0143961063948329e-4,4.119176669350936e-5,8.005629688328223e-5,1.460217977119587e-4,1.3650839852060264e-4,2.7347153524779694e-4,9.953551544706249e-5,8.151096144067051e-5,7.944066976791509e-5,1.4190063472052674e-4,1.4856644321878086e-4,6.440959423260717e-5,1.001435811319093e-4,6.489339019376337e-5,5.1849405381658876e-5,3.816576981718495e-5,7.701885208854115e-5,1.3505268944694933e-4,1.2870448953139664e-4,6.946228148310926e-5,9.448851200621982e-5,-9.196046905615894,-10.097272159115155,-9.432780459737879,-8.831754648003006,-8.899124417608544,-8.204313017394936,-9.2149960383209,-9.414773050556715,-9.440500107146143,-8.860383500795407,-8.814478270705365,-9.650247957183009,-9.2089055904485555,-9.642764785453778,-9.867167091403505,-10.173571522153873,-9.471460333758415,-8.909845563470409,-8.95799156027678,-9.574726665188495,-9.267032296926079,1.0104357408976725e-4,-9.291395718016096,1.012231898504722e-4,-9.30245997245062,9.520583265278696e-5,-9.359649621869618,13.37,1,0,0,37599.00000000002,29782.75569692777,25332.33602212024,10.534732733279633,10.301684837112285,10.13983696227755,2.5930133911138515,1.07,0.1,-0.83,0
